SpellID,Name,Type,CastTime,Duration,RecastDelay,Damage,DamageType,Icon,ClientEffect
74,"Molten Puddle",DamageSpeedDecrease,3.0,30,0,56.0,14,74,74
75,"Molten Pool",DamageSpeedDecrease,3.0,30,0,81.0,14,75,75
76,"Molten Lake",DamageSpeedDecrease,3.0,30,0,102.0,14,76,76
77,"Molten Ocean",DamageSpeedDecrease,3.0,30,0,134.0,14,77,77
78,"Trembling Earth",SpeedDecrease,2.5,26,0,0.0,14,78,213
79,"Quaking Earth",SpeedDecrease,2.5,51,0,0.0,14,79,213
80,"Buckling Earth",SpeedDecrease,2.5,64,0,0.0,14,80,213
81,"Earth Eddies",DirectDamage,3.0,0,6,68.0,14,81,81
82,"Earth Splash",DirectDamage,3.0,0,6,92.0,14,82,82
83,"Earth Ripple",DirectDamage,3.0,0,6,124.0,14,83,83
84,"Earth Wave",DirectDamage,3.0,0,6,155.0,14,84,84
85,"Molten Wrap",DamageOverTime,3.0,24,0,11.0,14,85,85
86,"Greater Molten Wrap",DamageOverTime,3.0,24,0,17.0,14,86,86
87,"Molten Blanket",DamageOverTime,3.0,24,0,29.0,14,87,87
88,"Greater Molten Blanket",DamageOverTime,3.0,24,0,41.0,14,88,88
89,"Sheet of Lava",DamageOverTime,3.0,24,0,53.0,14,89,89
90,"Greater Sheet of Lava",DamageOverTime,3.0,24,0,63.0,14,89,90
91,"Sheet of Magma",DamageOverTime,3.0,24,0,73.0,14,91,91
92,"Greater Sheet of Magma",DamageOverTime,3.0,24,0,87.0,14,92,92
101,"Call Minor Earth Elemental",SummonTheurgistPet,3.0,30,0,-88.0,0,101,101
102,"Call Lesser Earth Elemental",SummonTheurgistPet,3.0,30,0,-88.0,0,102,102
103,"Call Earth Elemental",SummonTheurgistPet,3.0,30,0,-88.0,0,103,103
104,"Call Potent Earth Elemental",SummonTheurgistPet,3.0,30,0,-88.0,0,104,104
105,"Call Mighty Earth Elemental",SummonTheurgistPet,3.0,60,0,-88.0,0,105,105
106,"Call Supreme Earth Elemental",SummonTheurgistPet,3.0,60,0,-88.0,0,106,106
107,"Call Earthlord",SummonTheurgistPet,3.0,60,0,-88.0,0,107,107
111,"Skin of Dust",Bladeturn,4.0,65535,0,0.0,0,111,111
112,"Skin of Sand",Bladeturn,4.0,65535,0,0.0,0,112,112
113,"Skin of Earth",Bladeturn,4.0,65535,0,0.0,0,113,113
114,"Skin of Rock",Bladeturn,4.0,10,0,0.0,0,114,114
115,"Skin of Stone",Bladeturn,4.0,8,0,0.0,0,115,115
116,"Skin of Diamond",Bladeturn,4.0,6,0,0.0,0,116,116
121,"Minor Friction",CombatSpeedDebuff,0.0,120,5,0.0,15,121,121
122,"Lesser Friction",CombatSpeedDebuff,0.0,120,5,0.0,15,122,122
123,Friction,CombatSpeedDebuff,0.0,120,5,0.0,15,123,123
124,"Major Friction",CombatSpeedDebuff,0.0,120,5,0.0,15,124,124
125,"Greater Friction",CombatSpeedDebuff,0.0,120,5,0.0,15,125,125
126,"Superior Friction",CombatSpeedDebuff,0.0,120,5,0.0,15,126,126
127,"Paralyzing Friction",CombatSpeedDebuff,0.0,120,5,0.0,15,127,127
151,"Ice Cloud (Minor)",DirectDamage,2.6,0,0,5.0,11,151,151
152,"Ice Cloud",DirectDamage,2.6,0,0,9.0,11,152,152
153,"Ice Cloud (Greater)",DirectDamage,2.6,0,0,13.0,11,153,153
154,"Ice Cloud (Potent)",DirectDamage,2.6,0,0,25.0,11,154,154
155,"Glittering Ice Cloud (Lesser)",DirectDamage,2.6,0,0,37.0,11,155,155
156,"Glittering Ice Cloud",DirectDamage,2.6,0,0,49.0,11,156,156
157,"Glittering Ice Cloud (Major)",DirectDamage,2.6,0,0,64.0,11,157,157
158,"Ice Blast (Minor)",DirectDamage,2.6,0,0,88.0,11,158,158
159,"Ice Blast",DirectDamage,2.6,0,0,120.0,11,159,159
160,"Ice Blast (Potent)",DirectDamage,2.6,0,0,148.0,11,160,160
161,"Ice Blast (Major)",DirectDamage,2.6,0,0,179.0,11,161,161
171,"Cold's Bitter Grip (Lesser)",SpeedDecrease,2.5,16,0,0.0,11,171,171
172,"Cold's Bitter Grip",SpeedDecrease,2.5,23,0,0.0,11,172,172
173,"Cold's Bitter Grip (Greater)",SpeedDecrease,2.5,30,0,0.0,11,173,173
174,"Fingers Of Ice (Lesser)",SpeedDecrease,2.5,38,0,0.0,11,174,174
175,"Fingers Of Ice",SpeedDecrease,2.5,49,0,0.0,11,175,175
176,"Fingers Of Ice (Greater)",SpeedDecrease,2.5,60,0,0.0,11,176,176
177,"Anchor Of Ice",SpeedDecrease,2.5,73,0,0.0,11,177,177
201,"Burst of Steam  (Minor)",DirectDamage,2.5,0,0,52.0,11,201,201
202,"Burst of Steam",DirectDamage,2.5,0,0,74.0,11,202,202
203,"Steaming Blast (Minor)",DirectDamage,2.5,0,0,104.0,11,203,203
204,"Steaming Blast",DirectDamage,2.5,0,0,133.0,11,204,204
205,"Steaming Blast (Major)",DirectDamage,2.5,0,0,176.0,11,205,205
206,"Steaming Wind (Minor)",DirectDamage,2.5,0,0,214.0,11,206,206
207,"Steaming Wind",DirectDamage,2.5,0,0,265.0,11,207,207
208,"Steaming Wind (Major)",DirectDamage,2.5,0,0,325.0,11,208,208
211,"Ensnaring Haze (Minor)",DamageSpeedDecrease,3.0,30,0,5.0,11,211,221
212,"Ensnaring Haze (Lesser)",DamageSpeedDecrease,3.0,30,0,21.0,11,212,222
213,"Ensnaring Haze",DamageSpeedDecrease,3.0,30,0,37.0,11,213,223
214,"Ensnaring Haze (Greater)",DamageSpeedDecrease,3.0,30,0,49.0,11,214,224
215,"Ensnaring Haze (Potent)",DamageSpeedDecrease,3.0,30,0,64.0,11,215,225
216,"Entangling Haze (Minor)",DamageSpeedDecrease,3.0,30,0,88.0,11,216,226
217,"Entangling Haze",DamageSpeedDecrease,3.0,30,0,120.0,11,217,227
218,"Entangling Haze (Greater)",DamageSpeedDecrease,3.0,30,0,148.0,11,218,228
219,"Entangling Haze (Potent)",DamageSpeedDecrease,3.0,30,0,179.0,11,219,228
221,"Searing Wind (Minor)",DirectDamageWithDebuff,3.0,20,0,13.0,11,221,221
222,"Searing Wind (Lesser)",DirectDamageWithDebuff,3.0,20,0,25.0,11,222,222
223,"Searing Wind",DirectDamageWithDebuff,3.0,20,0,45.0,11,223,223
224,"Searing Gust (Minor)",DirectDamageWithDebuff,3.0,20,0,61.0,11,224,224
225,"Searing Gust",DirectDamageWithDebuff,3.0,20,0,76.0,11,225,225
226,"Searing Wave (Minor)",DirectDamageWithDebuff,3.0,20,0,100.0,11,226,226
227,"Searing Wave",DirectDamageWithDebuff,3.0,20,0,136.0,11,227,227
228,"Searing Blast",DirectDamageWithDebuff,3.0,20,0,171.0,11,228,228
231,"Simmering Cloud",DirectDamageWithDebuff,3.0,20,0,25.0,11,231,231
232,"Broiling Cloud",DirectDamageWithDebuff,3.0,20,0,40.0,11,232,232
233,"Sweltering Cloud",DirectDamageWithDebuff,3.0,20,0,62.0,11,233,233
234,"Burning Cloud",DirectDamageWithDebuff,3.0,20,0,84.0,11,234,234
235,"Torrid Cloud",DirectDamageWithDebuff,3.0,20,0,102.0,11,235,235
236,"Boiling Cloud",DirectDamageWithDebuff,3.0,20,0,130.0,11,236,236
251,"Frost Blast",DamageSpeedDecrease,3.0,30,0,9.0,11,251,251
252,"Chilling Blast",DamageSpeedDecrease,3.0,30,0,21.0,11,252,252
253,"Frigid Blast",DamageSpeedDecrease,3.0,30,0,37.0,11,253,253
254,"Snow Blast",DamageSpeedDecrease,3.0,30,0,45.0,11,254,254
255,"Ice Blast",DamageSpeedDecrease,3.0,30,0,64.0,11,255,255
256,"Winter Blast",DamageSpeedDecrease,3.0,30,0,88.0,11,256,256
257,"Auroral Blast",DamageSpeedDecrease,3.0,30,0,120.0,11,257,257
258,"Hibernal Blast",DamageSpeedDecrease,3.0,30,0,148.0,11,258,258
259,"Arctic Blast",DamageSpeedDecrease,3.0,30,0,179.0,11,259,259
261,"Summon Minor Ice Spirit",SummonTheurgistPet,3.0,25,0,-88.0,0,261,261
262,"Summon Lesser Ice Spirit",SummonTheurgistPet,3.0,25,0,-88.0,0,262,262
263,"Summon Ice Spirit",SummonTheurgistPet,3.0,25,0,-88.0,0,263,263
264,"Summon Aged Ice Spirit",SummonTheurgistPet,3.0,25,0,-88.0,0,264,264
265,"Summon Elder Ice Spirit",SummonTheurgistPet,3.0,25,0,-88.0,0,264,265
266,"Summon Ice Elemental",SummonTheurgistPet,3.0,25,0,-88.0,0,264,265
267,"Summon Aged Ice Elemental",SummonTheurgistPet,3.0,25,0,-88.0,0,265,265
271,"Field of Frost",SpeedDecrease,2.5,15,0,0.0,11,271,271
272,"Field of Slush",SpeedDecrease,2.5,23,0,0.0,11,272,272
273,"Field of Snow",SpeedDecrease,2.5,30,0,0.0,11,273,273
274,"Field of Ice",SpeedDecrease,2.5,36,0,0.0,11,274,274
275,"Floe of Snow",SpeedDecrease,2.5,49,0,0.0,11,275,275
276,"Floe of Ice",SpeedDecrease,2.5,60,0,0.0,11,276,276
277,"Expanse of Ice",SpeedDecrease,2.5,73,0,0.0,11,277,277
301,"Summon Fire",DirectDamage,2.6,0,0,13.0,13,301,301
302,"Fire Wind",DirectDamage,2.6,0,0,21.0,13,302,302
303,"Circle Of Flames",DirectDamage,2.6,0,0,29.0,13,303,303
304,"Fiery Orbs",DirectDamage,2.6,0,0,37.4,13,304,304
305,"Fire Storm (Minor)",DirectDamage,2.6,0,0,49.0,13,305,305
306,"Fire Storm",DirectDamage,2.6,0,0,64.0,13,306,306
307,"Fire Storm (Major)",DirectDamage,2.6,0,0,85.0,13,307,307
308,"Fiery Maelstrom (Minor)",DirectDamage,2.6,0,0,108.0,13,308,308
309,"Fiery Maelstrom",DirectDamage,2.6,0,0,136.0,13,309,309
310,"Fiery Maelstrom (Major)",DirectDamage,2.6,0,0,171.0,13,310,310
311,"Fire Bolt",Bolt,2.5,0,20,13.0,13,311,311
312,"Fiery Bolt",Bolt,2.5,0,20,24.0,13,312,312
313,Fireball,Bolt,2.5,0,20,36.0,13,313,313
314,"Reign of Fire (Minor)",Bolt,2.5,0,20,53.0,13,314,314
315,"Reign of Fire",Bolt,2.5,0,20,75.0,13,315,315
316,"Reign of Fire (Major)",Bolt,2.5,0,20,98.0,13,316,316
317,"Flaming Rocks (Minor)",Bolt,2.5,0,20,115.0,13,317,317
318,"Flaming Rock",Bolt,2.5,0,20,149.0,13,318,318
319,"Flaming Rocks (Greater)",Bolt,2.5,0,20,188.0,13,319,319
320,"Flaming Rocks (Major)",Bolt,2.5,0,20,239.0,13,320,320
321,"Aura of Incineration",Bladeturn,4.0,1200,0,0.0,0,321,321
351,"Minor Combustion",DirectDamage,2.8,0,0,5.0,13,351,351
352,"Lesser Combustion",DirectDamage,2.8,0,0,16.0,13,352,352
353,Combustion,DirectDamage,2.8,0,0,31.0,13,353,353
354,"Greater Combustion",DirectDamage,2.8,0,0,46.0,13,354,354
355,"Major Combustion",DirectDamage,2.8,0,0,62.0,13,355,355
356,"Minor Conflagration",DirectDamage,2.8,0,0,81.0,13,356,356
357,"Lesser Conflagration",DirectDamage,2.8,0,0,108.0,13,357,357
358,Conflagration,DirectDamage,2.8,0,0,137.0,13,358,358
359,"Greater Conflagration",DirectDamage,2.8,0,0,173.0,13,359,359
360,"Major Conflagration",DirectDamage,2.8,0,0,219.0,13,360,360
361,"Explosive Blast (Minor)",DirectDamage,3.0,0,0,8.0,13,361,361
362,"Explosive Blast",DirectDamage,3.0,0,0,20.0,13,362,362
363,"Explosive Burst (Minor)",DirectDamage,3.0,0,0,28.0,13,363,363
364,"Explosive Burst",DirectDamage,3.0,0,0,44.0,13,364,364
365,"Concussive Blast (Minor)",DirectDamage,3.0,0,0,67.0,13,365,365
366,"Concussive Blast",DirectDamage,3.0,0,0,87.0,13,366,366
367,"Ebullient Blast (Minor)",DirectDamage,3.0,0,0,115.0,13,367,367
368,"Ebullient Blast",DirectDamage,3.0,0,0,158.0,13,368,368
371,"Minor Fire Streak",Bolt,2.5,0,20,29.0,13,371,371
372,"Fire Streak",Bolt,2.5,0,20,59.0,13,372,372
373,"Minor Flame Streak",Bolt,2.5,0,20,96.0,13,373,373
374,"Flame Streak",Bolt,2.5,0,20,133.0,13,374,374
375,"Minor Incendiary Lance",Bolt,2.5,0,20,170.0,13,375,375
376,"Incendiary Lance",Bolt,2.5,0,20,221.0,13,376,376
377,"Minor Flame Spear",Bolt,2.5,0,20,273.0,13,377,377
378,"Flame Spear",Bolt,2.5,0,20,331.0,13,378,378
401,"Bolstering Gust (Minor)",CombatSpeedBuff,3.5,1200,0,0.0,0,401,401
402,"Bolstering Gust",CombatSpeedBuff,3.5,1200,0,0.0,0,402,402
403,"Bolstering Gust (Major)",CombatSpeedBuff,3.5,1200,0,0.0,0,403,403
404,"Bolstering Storm (Minor)",CombatSpeedBuff,3.5,1200,0,0.0,0,404,404
405,"Bolstering Storm",CombatSpeedBuff,3.5,1200,0,0.0,0,405,405
406,"Bolstering Storm (Major)",CombatSpeedBuff,3.5,1200,0,0.0,0,406,406
407,"Bolstering Storm (Greater)",CombatSpeedBuff,3.5,1200,0,0.0,0,407,407
411,"Brisk Wind (Minor)",SpeedEnhancement,3.0,6,0,0.0,0,411,411
412,"Brisk Wind",SpeedEnhancement,3.0,6,0,0.0,0,412,412
413,"Lissome Wind (Minor)",SpeedEnhancement,3.0,6,0,0.0,0,413,413
414,"Lissome Wind",SpeedEnhancement,3.0,6,0,0.0,0,414,414
415,"Lissome Wind (Major)",SpeedEnhancement,3.0,6,0,0.0,0,415,415
451,"Call Lesser Air Sprite",SummonTheurgistPet,3.0,20,0,-88.0,0,451,451
452,"Call Minor Air Sprite",SummonTheurgistPet,3.0,20,0,-88.0,0,452,452
453,"Call Air Sprite",SummonTheurgistPet,3.0,20,0,-88.0,0,453,453
454,"Call Potent Air Sprite",SummonTheurgistPet,3.0,20,0,-88.0,0,454,454
455,"Call Mighty Air Sprite",SummonTheurgistPet,3.0,20,0,-88.0,0,455,455
461,"Confusing Gust (Minor)",Mesmerize,3.0,10,0,0.0,15,461,461
462,"Confusing Gust",Mesmerize,3.0,14,0,0.0,15,462,462
463,"Confusing Gust (Major)",Mesmerize,3.0,18,0,0.0,15,463,463
464,"Confusing Wind (Minor)",Mesmerize,3.0,23,0,0.0,15,464,464
465,"Confusing Wind",Mesmerize,3.0,27,0,0.0,15,465,465
466,"Confusing Storm",Mesmerize,3.0,32,0,0.0,15,466,466
471,"Blasting Breeze",DirectDamage,2.8,0,0,10.0,15,471,471
472,"Blasting Gust",DirectDamage,2.8,0,0,26.0,15,472,472
473,"Blasting Winds",DirectDamage,2.8,0,0,41.0,15,473,473
474,"Blasting Gale",DirectDamage,2.8,0,0,51.0,15,474,474
475,"Blasting Squall",DirectDamage,2.8,0,0,77.0,15,475,475
476,"Blasting Storm",DirectDamage,2.8,0,0,102.0,15,476,476
477,"Blasting Cyclone",DirectDamage,2.8,0,0,133.0,15,477,477
478,"Blasting Tempest",DirectDamage,2.8,0,0,163.0,15,478,478
479,"Blasting Maelstrom",DirectDamage,2.8,0,0,209.0,15,479,479
501,"Ward Blow",BaseArmorFactorBuff,4.0,1200,0,0.0,0,501,501
502,"Fend Blow",BaseArmorFactorBuff,4.0,1200,0,0.0,0,502,502
503,"Dampen Blow",BaseArmorFactorBuff,4.0,1200,0,0.0,0,503,503
504,"Deflect Blow",BaseArmorFactorBuff,4.0,1200,0,0.0,0,504,504
505,"Ward Offense",BaseArmorFactorBuff,4.0,1200,0,0.0,0,505,505
506,"Fend Offense",BaseArmorFactorBuff,4.0,1200,0,0.0,0,506,506
507,"Dampen Offense",BaseArmorFactorBuff,4.0,1200,0,0.0,0,507,507
508,"Deflect Offense",BaseArmorFactorBuff,4.0,1200,0,0.0,0,508,508
509,"Nullify Offense",BaseArmorFactorBuff,4.0,1200,0,0.0,0,509,509
511,"Corrosive Mist",DamageOverTime,3.0,20,0,4.0,14,511,511
512,"Corrosive Fog",DamageOverTime,3.0,20,0,6.0,14,512,512
513,"Corrosive Cloud",DamageOverTime,3.0,20,0,9.0,14,513,513
514,"Corrosive Smoke",DamageOverTime,3.0,20,0,13.0,14,514,514
515,"Dissolving Mist",DamageOverTime,3.0,20,0,17.0,14,515,515
516,"Dissolving Fog",DamageOverTime,3.0,20,0,23.0,14,516,516
517,"Dissolving Cloud",DamageOverTime,3.0,20,0,29.0,14,517,517
518,"Dissolving Smoke",DamageOverTime,3.0,20,0,37.0,14,518,518
519,"Disintegrating Fog",DamageOverTime,3.0,20,0,49.0,14,519,519
520,"Disintegrating Cloud",DamageOverTime,3.0,20,0,63.0,14,520,520
521,"Disintegrating Smoke",DamageOverTime,3.0,20,0,79.0,14,521,521
531,"Barrier of Warding",Bladeturn,4.0,1200,0,0.0,0,531,531
532,"Dampening Ward",ArmorAbsorptionBuff,3.0,1200,0,0.0,0,532,532
533,"Nullifying Ward",ArmorAbsorptionBuff,3.0,1200,0,0.0,0,533,533
535,"Mystic Web",DexterityDebuff,0.0,60,5,0.0,14,535,535
536,"Mystic Trap",DexterityDebuff,0.0,60,5,0.0,14,536,536
537,"Mystic Net",DexterityDebuff,0.0,60,5,0.0,14,537,537
538,"Magical Web",DexterityDebuff,0.0,60,5,0.0,14,538,538
539,"Magical Trap",DexterityDebuff,0.0,60,5,0.0,14,539,539
540,"Magical Net",DexterityDebuff,0.0,60,5,0.0,14,540,540
541,"Sorcerous Web",DexterityDebuff,0.0,60,5,0.0,14,541,541
551,"Lesser Decrepify",DamageOverTime,3.0,24,0,4.0,14,551,551
552,Decrepify,DamageOverTime,3.0,24,0,6.0,14,552,552
553,"Lesser Deterioration",DamageOverTime,3.0,24,0,9.0,14,553,553
554,Deterioration,DamageOverTime,3.0,24,0,13.0,14,554,554
555,"Lesser Contamination",DamageOverTime,3.0,24,0,17.0,14,555,555
556,Contamination,DamageOverTime,3.0,24,0,23.0,14,556,556
557,"Lesser Devolution",DamageOverTime,3.0,24,0,29.0,14,557,557
558,Devolution,DamageOverTime,3.0,24,0,37.0,14,558,558
559,"Lesser Degeneration",DamageOverTime,3.0,24,0,49.0,14,559,559
560,Degeneration,DamageOverTime,3.0,24,0,63.0,14,560,560
561,"Lesser Delaceration",DamageOverTime,3.0,24,0,79.0,14,561,561
562,Delaceration,DamageOverTime,3.0,24,0,89.0,14,562,562
571,"Reflect Attack",DamageShield,2.5,8,0,0.7,14,571,571
572,"Reflect Blow",DamageShield,2.5,8,0,3.0,14,572,572
573,"Reflect Damage",DamageShield,2.5,8,0,4.5,14,573,573
574,"Reflect Offense",DamageShield,2.5,8,0,6.8,14,574,574
575,"Channel Attack",DamageShield,2.5,8,0,10.5,14,575,575
576,"Channel Blow",DamageShield,2.5,8,0,15.1,14,576,576
577,"Channel Damage",DamageShield,2.5,8,0,20.3,14,577,577
578,"Channel Offense",DamageShield,2.5,8,0,27.1,14,578,578
579,"Reflective Backlash",DamageShield,2.5,8,0,33.9,14,579,579
581,"Puncture Spirit",DamageOverTime,3.0,24,0,33.0,14,581,581
582,"Perforate Spirit",DamageOverTime,3.0,24,0,43.0,14,582,582
583,"Bore Spirit",DamageOverTime,3.0,24,0,53.0,14,583,583
584,"Drill Spirit",DamageOverTime,3.0,24,0,65.0,14,584,584
585,"Lance Spirit",DamageOverTime,3.0,24,0,83.0,14,585,585
586,"Encrust Eyes",Nearsight,2.0,120,0,0.0,14,586,586
587,"Obscuring Dust",Nearsight,2.0,120,0,0.0,14,587,587
588,"Clouded Sight",Nearsight,2.0,120,0,0.0,14,588,588
589,"Darkened Cloud",Nearsight,2.0,120,0,0.0,14,589,589
590,"Persistent Obscuration",Nearsight,2.0,120,0,0.0,14,590,590
601,"Lesser Abrasive Force",DamageOverTime,3.0,24,0,2.0,14,601,601
602,"Abrasive Force",DamageOverTime,3.0,24,0,6.0,14,602,602
603,"Lesser Grinding Force",DamageOverTime,3.0,24,0,9.0,14,603,603
604,"Grinding Force",DamageOverTime,3.0,24,0,13.0,14,604,604
605,"Lesser Pounding Force",DamageOverTime,3.0,24,0,17.0,14,605,605
606,"Pounding Force",DamageOverTime,3.0,24,0,23.0,14,606,606
607,"Lesser Crushing Force",DamageOverTime,3.0,24,0,29.0,14,607,607
608,"Crushing Force",DamageOverTime,3.0,24,0,37.0,14,608,608
609,"Lesser Pulverizing Force",DamageOverTime,3.0,24,0,49.0,14,609,609
610,"Pulverizing Force",DamageOverTime,3.0,24,0,63.0,14,610,610
611,"Lesser Disintegrating Force",DamageOverTime,3.0,24,0,79.0,14,611,611
612,"Disintegrating Force",DamageOverTime,3.0,24,0,89.0,14,612,612
621,"Minor Mesh of Force",DexterityQuicknessDebuff,0.0,60,5,0.0,14,621,621
622,"Mesh of Force",DexterityQuicknessDebuff,0.0,60,5,0.0,14,622,622
623,"Major Mesh of Force",DexterityQuicknessDebuff,0.0,60,5,0.0,14,623,623
624,"Minor Net of Force",DexterityQuicknessDebuff,0.0,60,5,0.0,14,624,624
625,"Net of Force",DexterityQuicknessDebuff,0.0,60,5,0.0,14,625,625
626,"Major Net of Force",DexterityQuicknessDebuff,0.0,60,5,0.0,14,626,626
627,"Minor Web of Force",DexterityQuicknessDebuff,0.0,60,5,0.0,14,627,627
628,"Major Web of Force",DexterityQuicknessDebuff,0.0,60,5,0.0,14,628,628
629,"Constricting Field",DexterityQuicknessDebuff,0.0,60,5,0.0,14,629,629
630,"Restraining Field",DexterityQuicknessDebuff,0.0,60,5,0.0,14,630,630
631,"Major Constricting Field",DexterityQuicknessDebuff,0.0,60,5,0.0,14,631,631
632,"Major Restraining Field",DexterityQuicknessDebuff,0.0,60,5,0.0,14,632,632
633,"Lesser Constricting Jolt",DamageSpeedDecrease,3.0,30,0,64.0,14,633,633
634,"Constricting Jolt",DamageSpeedDecrease,3.0,30,0,88.0,14,634,634
635,"Lesser Constricting Force",DamageSpeedDecrease,3.0,30,0,112.0,14,635,635
636,"Constricting Force",DamageSpeedDecrease,3.0,30,0,143.0,14,636,636
637,"Major Constricting Blast",DamageSpeedDecrease,3.0,30,0,179.0,14,637,637
651,"Minor Vitality Drain",Lifedrain,2.5,0,0,5.0,10,651,662
652,"Lesser Vitality Drain",Lifedrain,2.5,0,0,9.0,10,652,662
653,"Vitality Drain",Lifedrain,2.5,0,0,13.0,10,653,662
654,"Greater Vitality Drain",Lifedrain,2.5,0,0,21.0,10,654,662
655,"Major Vitality Drain",Lifedrain,2.5,0,0,29.0,10,655,662
656,"Minor Essence Consumption",Lifedrain,2.5,0,0,37.0,10,656,662
657,"Lesser Essence Consumption",Lifedrain,2.5,0,0,52.0,10,657,662
658,"Essence Consumption",Lifedrain,2.5,0,0,68.0,10,658,662
659,"Greater Essence Consumption",Lifedrain,2.5,0,0,85.0,10,659,662
660,"Major Essence Consumption",Lifedrain,2.5,0,0,104.0,10,660,662
661,"Increased Essence Consumption",Lifedrain,2.5,0,0,128.0,10,661,662
662,"Superior Essence Consumption",Lifedrain,2.5,0,0,164.0,10,662,662
663,"Essence Devourer",Lifedrain,2.5,0,0,179.0,10,662,662
671,"Fatigue Body",StrengthDebuff,0.0,60,5,0.0,10,671,671
672,"Debilitate Body",StrengthDebuff,0.0,60,5,0.0,10,672,672
673,"Weaken Body",StrengthDebuff,0.0,60,5,0.0,10,673,673
674,"Deteriorate Body",StrengthDebuff,0.0,60,5,0.0,10,674,674
675,"Enfeeble Body",StrengthDebuff,0.0,60,5,0.0,10,675,675
676,"Degenerate Body",StrengthDebuff,0.0,60,5,0.0,10,676,676
677,"Cripple Body",StrengthDebuff,0.0,60,5,0.0,10,677,677
678,"Dilapidate Body",StrengthDebuff,0.0,60,5,0.0,10,678,678
682,"Lesser Crippling",SpeedDecrease,2.5,13,0,0.0,10,682,682
683,Cripple,SpeedDecrease,2.5,23,0,0.0,10,683,683
684,"Major Crippling",SpeedDecrease,2.5,31,0,0.0,10,684,684
685,"Greater Crippling",SpeedDecrease,2.5,41,0,0.0,10,685,685
686,"Leg Twist",SpeedDecrease,2.5,48,0,0.0,10,686,686
687,"Greater Leg Twist",SpeedDecrease,2.5,61,0,0.0,10,687,687
688,"Superior Leg Twisting",SpeedDecrease,2.5,73,0,0.0,10,688,688
701,"Remove Lifeforce",Lifedrain,2.5,0,0,4.0,10,701,701
